iter	RMSE
0	13.98955683
1	13.08315112
2	12.28314698
3	11.58021486
4	10.93453983
5	10.39038597
6	9.810457806
7	9.304946076
8	8.846114751
9	8.488134872
10	8.197081222
11	7.873491413
12	7.596210356
13	7.378114149
14	7.172721608
15	6.963815677
16	6.80773961
17	6.630565115
18	6.482458632
19	6.351595487
20	6.236231096
21	6.130533134
22	6.044117424
23	5.984822097
24	5.916340497
25	5.850086612
26	5.777355786
27	5.7228451
28	5.670159869
29	5.629621137
30	5.598868102
31	5.566532701
32	5.523358908
33	5.486007082
34	5.456144306
35	5.418504311
36	5.393463251
37	5.37123135
38	5.346242023
39	5.312978401
40	5.285201526
41	5.267729031
42	5.246659911
43	5.230828139
44	5.211898132
45	5.196528717
46	5.183733995
47	5.169877346
48	5.151534207
49	5.130253348
50	5.108487835
51	5.098590535
52	5.096987752
53	5.086245127
54	5.067087744
55	5.058282366
56	5.047642218
57	5.037681084
58	5.021513223
59	5.007180535
60	5.000869831
61	4.989884248
62	4.984553777
63	4.977541954
64	4.964702908
65	4.951550289
66	4.943751098
67	4.9318073
68	4.926491384
69	4.919453123
70	4.91288321
71	4.906240151
72	4.894992875
73	4.889759447
74	4.869164306
75	4.85854515
76	4.850572644
77	4.840807031
78	4.833744863
79	4.824987547
80	4.819478339
81	4.81631385
82	4.812232718
83	4.80427643
84	4.789657718
85	4.776350196
86	4.767333873
87	4.759774442
88	4.746687256
89	4.739280274
90	4.73191262
91	4.728024931
92	4.719556405
93	4.703193954
94	4.690439403
95	4.685458602
96	4.678214691
97	4.677516059
98	4.675196796
99	4.674249056
